YE,Aden,12.7794,45.0367
SY,Afrine,36.2333,37.3333
ES,Aguaviva,40.8221,-0.1953
US,Ajo,32.3717,-112.8607
SY,Al Masna`,33.7,35.9667
ES,Alcalá De Henares,40.482,-3.36
ES,Alcocer,40.4697,-2.6094
ES,Alcorcón,40.3465,-3.8125
ES,Alcoy,38.7054,-0.4743
ES,Aledo,37.7934,-1.5736
SY,Alep,36.2028,37.1586
SY,Aleppe,36.2028,37.1586
DE,Alexander,51.3,8.3667
GB,Alexandria,55.9833,-4.6
FR,Algolsheim,48.0064,7.5597
ES,Alicante,38.3462,-0.4877
SY,Al-kamishly,37.0497,41.2264
DE,Allee,53.75,10.2167
ES,Almería,36.8333,-2.45
ES,Alpedrete,40.6606,-4.0253
ES,Altea,38.5998,-0.0502
IN,Amalner,21.05,75.0667
IN,Amalner,21.05,75.0667
FR,Amiens,49.9,2.3
CK,Amuri,-18.8539,-159.7964
ES,Amurrio,43.05,-3
IN,Andheri,19.1167,72.8333
IN,Andheri,19.1167,72.8333
AD,Andorre,42.5,1.5167
AD,Anyós,42.5333,1.5333
ES,Arguineguín,27.7622,-15.6818
ES,Arinaga,27.8667,-15.3833
AD,Arinsal,42.5667,1.4833
DE,Arnstorf,48.5667,12.8167
CK,Arorangi,-21.2317,-159.8278
ES,Arriaga,42.8668,-2.6774
CK,Arutanga,-18.8686,-159.8
FR,Aubergenville,48.96,1.8547
FR,Avaray,47.7225,1.5644
CK,Avarua,-21.2078,-159.775
ES,Ávila,40.6572,-4.6995
DE,Bad Soden,50.1333,8.5
ES,Badalona,41.4471,2.2448
GB,Bagshot,51.3667,-0.6833
BG,Balkan,43.8333,26.8833
IN,Bangalore,12.9833,77.5833
IN,Bangalore,12.9833,77.5833
SY,Bâniâs,33.2456,35.6928
SY,Baniyas,35.1833,35.95
ES,Barcelona,41.3984,2.1741
AU,Basalt,-19.7516,145.3892
GB,Basingstoke,51.2667,-1.0833
YE,Bayt Mahfad,15.2522,44.1719
US,Bear Lake,41.9934,-79.5028
DE,Berger,51.7167,7.5
DE,Bergheim,50.9667,6.65
DE,Bergkamen,51.6333,7.6333
ES,Bermeo,43.4204,-2.7242
ES,Bernardos,41.1279,-4.3512
FR,Berre,43.4782,5.1741
FR,Besançon,47.2488,6.0182
FR,Besançon,47.2488,6.0182
US,Bethel,41.3807,-73.3915
DE,Bielefeld,52.0333,8.5333
GB,Biggleswade,52.0833,-0.2667
ES,Bilbao,43.2609,-2.9388
AD,Bixessarri,42.4833,1.4667
AU,Blackville,-31.6333,150.2333
BG,Blagoevgrad,42.0167,23.1
ES,Boadilla Del Monte,40.4028,-3.8756
DE,Bochum,51.4833,7.2167
NZ,Bombay,-37.1667,174.9833
IN,Bombay,18.975,72.8258
IN,Bombay,18.975,72.8258
DE,Bonn,50.7333,7.1
DE,Boppard,50.2333,7.6
FR,Bordeaux,44.8404,-0.5805
FR,Boulogne,43.2885,0.6477
US,Bowie,32.3265,-109.487
GB,Braddock,50.4333,-4.5833
US,Brattleboro,42.8509,-72.5579
US,Bridgeton,38.7667,-90.4201
GB,Brierfield,53.8167,-2.2333
FR,Bron,45.7402,4.9224
BG,Bulgarin,41.95,25.95
BG,Burgas,42.5,27.4667
DE,Burgdorf,52.45,10.0167
ES,Burgos,42.3502,-3.6753
DE,Bürstadt,49.6436,8.46
GB,Bury,53.6,-2.3
IN,Calcutta,22.5697,88.3697
IN,Calcutta,22.5697,88.3697
IN,Calicut,11.25,75.7667
IN,Calicut,11.25,75.7667
AU,Camden,-34.05,150.7
ES,Canal,43.4199,-5.5595
AD,Canillo,42.5667,1.6
NZ,Cardiff,-39.3667,174.2333
ES,Carme,41.532,1.6207
FR,Caro,43.1467,-1.2182
ES,Cartuja,36.6537,-6.0923
ES,Castellbisbal,41.4748,1.9799
ES,Castellón,39.9875,-0.0392
AU,Castle Hill,-33.7333,151
FR,Cergy,49.0364,2.0761
FR,Cestas,44.7434,-0.6791
SY,Chahba,32.85,36.6333
IN,Chandigarh,30.7343,76.7933
IN,Chandigarh,30.7343,76.7933
FR,Charenton-le-pont,48.8221,2.4122
IN,Chennai,13.0833,80.2833
IN,Chennai,13.0833,80.2833
